meta_id,question_id,estimate_id,estimate,std.error,z_stat,dv,iv,n,overall_effect,question,sample,sample_size,study_id,study_journal,study_year,subfield,subset
ArcNic2009,ArcNic2009,1,2.7,0.8,3.375,,,11,NA,Is the effectiveness of GOTV at stimulating participation among chronic nonvoters contingent on the electoral environment?,Briggs,NA,Gerber and Green,NA,1998,American Politics,NA
ArcNic2009,ArcNic2009,2,3.4,1.3,2.6153846153846154,,,11,NA,Is the effectiveness of GOTV at stimulating participation among chronic nonvoters contingent on the electoral environment?,Briggs,NA,Green and Gerber,NA,2000,American Politics,NA
ArcNic2009,ArcNic2009,3,3.9,1.5,2.6,,,11,NA,Is the effectiveness of GOTV at stimulating participation among chronic nonvoters contingent on the electoral environment?,Briggs,NA,"Green, Gerber, and Nickerson",NA,2001,American Politics,NA
ArcNic2009,ArcNic2009,4,1.4,1.1,1.2727272727272725,,,11,NA,Is the effectiveness of GOTV at stimulating participation among chronic nonvoters contingent on the electoral environment?,Briggs,NA,"Green, Gerber, and Nickerson",NA,2001,American Politics,NA
ArcNic2009,ArcNic2009,5,2.6,1.4,1.8571428571428574,,,11,NA,Is the effectiveness of GOTV at stimulating participation among chronic nonvoters contingent on the electoral environment?,Briggs,NA,"Green, Gerber, and Nickerson",NA,2001,American Politics,NA
ArcNic2009,ArcNic2009,6,1.9,1.6,1.1874999999999998,,,11,NA,Is the effectiveness of GOTV at stimulating participation among chronic nonvoters contingent on the electoral environment?,Briggs,NA,"Green, Gerber, and Nickerson",NA,2001,American Politics,NA
ArcNic2009,ArcNic2009,7,4.6,2.1,2.1904761904761902,,,11,NA,Is the effectiveness of GOTV at stimulating participation among chronic nonvoters contingent on the electoral environment?,Briggs,NA,"Green, Gerber, and Nickerson",NA,2001,American Politics,NA
ArcNic2009,ArcNic2009,8,3.1,1.7,1.823529411764706,,,11,NA,Is the effectiveness of GOTV at stimulating participation among chronic nonvoters contingent on the electoral environment?,Briggs,NA,Michelson,NA,2001,American Politics,NA
ArcNic2009,ArcNic2009,9,8.6,4.2,2.0476190476190474,,,11,NA,Is the effectiveness of GOTV at stimulating participation among chronic nonvoters contingent on the electoral environment?,Briggs,NA,Nickerson,NA,2002,American Politics,NA
ArcNic2009,ArcNic2009,10,10.9,4.1,2.658536585365854,,,11,NA,Is the effectiveness of GOTV at stimulating participation among chronic nonvoters contingent on the electoral environment?,Briggs,NA,Nickerson,NA,2002,American Politics,NA
ArcNic2009,ArcNic2009,11,4.4,2.5,1.7600000000000002,,,11,NA,Is the effectiveness of GOTV at stimulating participation among chronic nonvoters contingent on the electoral environment?,Briggs,NA,Arcenaux,NA,2003,American Politics,NA
AskDouPal2021,AskDouPal2021; human_rights; ,12,0.3364,0.09611387,3.5000151382937754,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Abrams & Lewis,NA,1993,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,13,0.28657,0.09881635,2.900026159638562,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Abrams & Lewis,NA,1993,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,14,0.2989,0.09057659,3.2999696720753122,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Abrams & Lewis,NA,1993,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,15,0.25038,0.09273183,2.7000437713781773,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Abrams & Lewis,NA,1993,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,16,0.16368,0.05067382,3.230070280866925,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,17,0.12154,0.05238673,2.3200531890423393,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,18,0.13055,0.05099429,2.560090551314667,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,19,0.12019,0.05092706,2.360041989464933,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,20,0.1185,0.07360265,1.609996379206455,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,21,0.39704,0.04919934,8.070026955646153,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,22,0.20594,0.05060034,4.069933126931558,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,23,0.07437,0.051292,1.4499337128597054,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,24,0.12921,0.05127528,2.519927731257635,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,25,0.17627,0.0503633,3.499969223621169,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,26,0.04369,0.05200822,0.8400595136691853,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,27,0.02251,0.05115149,0.440065382,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,28,0.20094,0.04986053,4.030041397474115,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,29,0.03724,0.05244998,0.7100098036262359,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,30,0.27794,0.04902026,5.6699005676428484,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,31,0.20073,0.05005759,4.009981303534588,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,32,0.26205,0.04861867,5.3899047423551485,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,33,0.39773,0.04904247,8.109909635464934,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,34,0.20976,0.05042373,4.1599461206063095,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,35,0.0696,0.05117453,1.360051572530319,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,36,0.12787,0.05114772,2.5000136858495354,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,37,0.17972,0.05020017,3.5800675575401435,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,38,0.03943,0.05187705,0.760066349,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,39,0.02398,0.05101636,0.47004529527390826,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
