group_id,treatmentcoefficient,treatmentstandarderror,within_grou
1,0.09625,0.05575,1
1,0.0499709,0.0118517,2
1,0.122,2.7,3
1,0.0621952,0.0217336,4
1,0.102,0.305,5
1,0.033,0.03,6
1,0.045,0.026,7
1,0.025,0.006,8
1,0.046,0.012,9
1,0.1018545,0.0173439,10
1,0.01,0.01,11
1,0.134,0.049,12
1,0.08,0.035,13
1,0.058,0.01,14
2,0.04,0.01,1
2,0.092,0.029,2
2,0.029,0.02,3
2,0.142,0.036,4
2,0.015,0.019,5
2,0.0387535,0.0162681,6
2,0.0886972,0.0286368,7
2,0.115,0.015,8
2,0.057,0.003,9
2,0.08,0.0333333,10
2,0.0814324,0.0235691,11
2,0.0732056,0.0236833,12
2,0.0337,0.0188,13
2,0.099,0.047,14
2,0.1109127,0.014875,15
2,0.02733,0.0040132,16
2,0.056,0.023,17
2,0.0298746,0.00624,18
2,0.1639023,0.0617594,19
2,0.0289854,0.0015651,20
2,0.0810681,0.0308914,21
2,-0.025,0.35,22
2,0.0265,0.0029628,23
2,0.125,0.0246063,24
2,0.0286427,0.0126972,25
2,0.039829,0.0039671,26
2,0.0192165,0.0057192,27
2,-0.001,0.0035355,28
2,0.045,0.026,29
2,0.069,0.016,30
2,0.128,0.043,31
2,0.0101675,0.0083245,32
2,0.038102,0.0067957,33
2,0.0565795,0.0131621,34
2,0.032,0.0034368,35
2,0.113,0.039,36
3,0.033,0.057,1
3,0.002,0.039,2
3,0.16,0.081,3
4,-0.0521,0.12,1
4,0.45,0.8235,2
4,0.09,0.0264057,3
4,-0.202,0.207,4
4,-0.16,0.42,5
4,0.0193448,0.0397547,6
4,-0.219,0.15,7
5,-0.099,0.054,1
5,-0.0292813,0.0103489,2
5,-0.0068155,0.0156913,3
5,-0.03173,0.0161888,4
5,-0.0274636,0.0202798,5
5,-0.0158386,0.005668,6
5,-0.0105178,0.0073581,7
5,-0.0471149,0.0272517,8
5,-0.07,0.04,9
5,-0.0154,0.0143,10
5,-0.0843277,0.0236591,11
5,0.0023421,0.002122,12
5,-0.1105,0.0325082,13
5,0.019,0.03,14
5,-0.0136843,0.0081352,15
5,-0.0492666,0.0069424,16
5,0.074,0.025,17
5,-0.009,0.0085295,18
6,-2.737,2.494,1
6,-5.56,2.1,2
6,0.286,1.286,3
6,-0.6378802,0.3650961,4
6,-3.426377,0.6387699,5
6,-1.789,0.401,6
6,-0.0635445,0.0311258,7
7,-0.082,0.027,1
7,-0.0387,0.1353,2
7,0.0219,0.0103,3
8,-0.187,0.074,1
8,-0.0161339,0.0080519,2
8,-0.0888979,0.042415,3
8,-0.0818491,0.0227422,4
8,0.0657329,0.0197629,5
9,-0.035,0.036,1
9,-0.002,0.003,2
9,-0.004811,0.0006468,3
9,-0.0066943,0.0061686,4
9,-0.011,0.005,5
10,0.192,0.198,1
10,0.037,0.053,2
10,0.139,0.074,3
11,0.051,0.065,1
11,0.1475,0.0416473,2
11,-0.04,1,3
11,-0.057,0.009,4
11,0.20675,0.0295288,5
12,-3.937,1.903,1
12,-0.886,0.490713,2
12,-1.114,0.281,3
12,-0.4095,0.3863557,4
12,-1.21966,0.4931026,5
13,-0.0693868,0.1656699,1
13,0.13,0.038,2
13,0.099,0.008025,3
13,0.004,0.074,4
14,0.01,0.02,1
14,0.0655768,0.0274423,2
14,0.066,0.042,3
14,0.0490973,0.0240604,4
14,0,0.01,5
14,0.0075,0.0014061,6
14,0.09,0.0212766,7
14,0.19,0.064,8
14,0.033,0.039,9
14,0.061,0.019,10
14,0.0225,0.0058319,11
14,0.0205,0.0106448,12
14,0.0349378,0.0158064,13
15,-1.204301,0.8126734,1
15,-0.2920205,0.2417382,2
15,-0.3622427,0.1735129,3
15,-0.519638,0.1857793,4
15,-0.0512933,0.1863077,5
15,-0.409,0.0715446,6
15,-0.3188271,0.0458273,7
15,-0.2446806,0.093268,8
15,-0.765,0.1427591,9
15,-0.4218765,0.2710597,10
16,0.138,0.09,1
16,0.2663007,0.0374347,2
16,0.141,0.044,3
17,0.0599999,0.0495096,1
17,0.07,0.85,2
17,0.3299999,0.0563118,3
17,0,0.3061225,4
17,0.1,0.1804274,5
17,0.5999999,0.0670379,6
17,-0.1999999,0.0697538,7
17,0.1090909,0.1105686,8
17,0.3999996,0.5834144,9
17,0.0999985,0.3277933,10
17,0.0799999,0.0740936,11
17,0.8364,0.2207783,12
17,0.5,0.3149036,13
17,-1.24,0.2813303,14
17,-0.4100008,0.1542367,15
17,0,1.289945,16
18,0.1000001,0.0501161,1
18,0.05,0.0256516,2
18,0.6800001,0.0206084,3
18,0,0.22,4
18,0.02,0.0291168,5
18,0.19,0.1838499,6
18,1.051925,0.0232358,7
18,0.01,0.0070728,8
18,0.03,0.0212331,9
18,-0.0203603,0.0293287,10
18,-0.04,0.0187298,11
18,0.06,0.0182642,12
18,0,0.0339696,13
18,0.09,0.05,14
19,0.2,0.1278379,1
19,-0.0799999,0.0678471,2
19,0.04,0.0379394,3
19,0.16,0.14,4
19,-0.0545455,0.0710223,5
19,-0.2,0.162517,6
19,-0.0703601,0.0402006,7
19,0.218,0.1052607,8
19,0.06,0.0778548,9
